	SKMM2_cDNA_control_1	SKMM2_cDNA_control_2	SKMM2_cDNA_control_3	SKMM2_cDNA_IL6_1	SKMM2_cDNA_IL6_2	SKMM2_cDNA_IL6_3	SKMM2_dRNA_control_1	SKMM2_dRNA_control_2	SKMM2_dRNA_control_3	SKMM2_dRNA_IL6_1	SKMM2_dRNA_IL6_2	SKMM2_dRNA_IL6_3
ENSG00000213786.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213787.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213790.2	0	0	0	0	0	0	5	1	6	1	6	0
ENSG00000213791.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213793.6	2	3	1	1	2	0	12	6	7	8	14	3
ENSG00000213798.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213799.13	3	6	1	5	9	0	16	12	15	13	23	13
ENSG00000213801.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213809.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213816.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213820.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213822.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213830.3	0	0	0	0	0	0	0	1	0	0	0	1
ENSG00000213839.4	0	0	0	0	0	0	0	39	41	35	19	34
ENSG00000213842.2	0	0	0	0	0	0	37	24	30	29	36	26
ENSG00000213849.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213851.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213853.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213854.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213856.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213857.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213859.8	1	2	1	0	0	0	10	5	7	3	2	0
ENSG00000213860.4	1	1	0	109	1	3	1	0	0	0	0	0
ENSG00000213862.4	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000213864.3	3	3	0	2	1	0	0	0	0	0	1	0
ENSG00000213866.3	53	63	54	86	81	85	0	62	75	0	139	91
ENSG00000213867.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213871.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213872.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213873.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213875.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213876.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213877.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213880.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213881.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213882.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213885.5	0	1	0	0	0	0	3	11	1	0	1	3
ENSG00000213886.4	0	0	0	0	1	1	0	0	0	0	0	0
ENSG00000213888.3	0	0	0	0	0	0	0	0	0	0	1	1
ENSG00000213889.11	7	3	9	3	3	15	4	0	2	3	2	3
ENSG00000213891.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213892.12	0	0	0	0	0	0	0	1	0	0	0	1
ENSG00000213896.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213900.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213901.11	2	0	0	0	1	0	1	0	2	1	0	3
ENSG00000213903.9	0	0	0	0	0	0.99999	5	0.99999	3	6	0.99999	5
ENSG00000213904.11	163	197	173.99999	137	125	91	21	29	20	18	14	25
ENSG00000213906.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213908.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213911.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213916.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213917.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213918.11	3	5	3	8	13	11.00001	4	2	5	6.99999	3	2
ENSG00000213920.9	426	416	502.99999	369.99999	366	434.00001	110	107	106	87.99999	96	100
ENSG00000213921.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213923.13	21.00001	10	14.99999	15	14.99999	5	74.00001	74	71	82.99999	79.99999	99
ENSG00000213924.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213925.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213926.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213927.4	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000213928.10	3	9	10.99999	11	12	11	44.99999	42.00001	43.99999	81	80	92.00001
ENSG00000213930.12	10	19	11	6	9	6	43	25	32	18	21	19
ENSG00000213931.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213934.9	4	2	0	0	0	0	0	0	2	0	1	1
ENSG00000213935.3	0	0	0	0	1	1	0	0	0	0	0	0
ENSG00000213937.4	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000213938.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213939.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213940.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213942.3	1	1	5	3	1	4	2	1	0	0	2	1
ENSG00000213943.3	0	0	0	1	0	0	0	0	0	0	0	1
ENSG00000213946.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213949.10	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000213950.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213954.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213956.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213958.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213959.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213962.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213963.7	8	3	12	5	4	2	8.99999	7	3	2	5	2
ENSG00000213964.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213965.4	8	7	6	14	14	3	47	68	33	44	36	47
ENSG00000213967.12	15	17	13	9	10	16	9	8	6	12	9	9
ENSG00000213970.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213972.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213973.10	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000213976.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213977.8	14	6	5	8	12	9	36	28	29	38	30	23
ENSG00000213979.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213981.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213983.12	10.00001	8	13	4	9	9	29	40.99999	26	26	15	23
ENSG00000213985.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213987.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213988.11	8	16	11	13	6	7	13	15	15	15	9	7
ENSG00000213994.3	0	1	3	0	0	0	1	0	0	0	0	0
ENSG00000213995.12	17	9	31	11	9	12	57.99999	61	59	55.99999	50	52
ENSG00000213996.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213997.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213999.17	21	19	16	13	6	12	297.00001	345	297	80	189	99
ENSG00000214003.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214009.2	0	0	0	0	0	0	1033	829	911	974	990	933
ENSG00000214012.4	7	7	6	6	2	8	1	5	4	5	2	4
ENSG00000214013.10	2	9	1	5	4	6	15	16	13	24	16	11
ENSG00000214015.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214016.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214018.3	0	0	0	0	0	0	0	0	1	0	0	1
ENSG00000214019.2	0	0	1	0	0	0	0	1	0	0	0	0
ENSG00000214020.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214021.19	1	2	0	1	2	0	1	2	4	3	2	3
ENSG00000214022.12	33	51	57	56	34	44	323	427	372	332	304	324
ENSG00000214024.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214025.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214026.11	12	10	18	15	18	18	920	883	878	939	1012	1011.99999
ENSG00000214027.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214029.6	4	12	1	5	12	2	12	3	8	12	6	15
ENSG00000214031.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214035.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214039.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214041.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214042.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214043.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214045.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214046.9	835.00001	755	741.99999	770	896	924	323.99999	322.00001	332.00001	308	332	342.00001
ENSG00000214047.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214049.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214050.8	4	4	3	3	8	9	16	4	7	7	14	15
ENSG00000214051.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214062.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214063.12	2	3	3	0	0	0	52	40	52.00001	32.99999	32	29
ENSG00000214064.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214067.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214070.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214071.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214073.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214074.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214076.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214077.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214078.13	20	31	20.00001	28	22	25	103	83.99999	91.99999	85.00001	64	89.99999
ENSG00000214081.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214087.9	35.00001	43	31	43	47	45	60.00001	75	84.99999	80	75.00001	77
ENSG00000214089.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214093.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214097.5	0	0	2	0	0	0	1	0	0	0	0	0
ENSG00000214100.11	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214102.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214106.9	8	0	0	1.99999	0	1.99999	19.00001	6	14	14	13	5
ENSG00000214107.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214108.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214110.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214111.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214113.11	610	711	606	718	755.00001	699	240	204	244	234	277	276
ENSG00000214114.9	725	724	690	910	909	815	311	288	306	291	333	248
ENSG00000214121.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214124.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214125.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214128.11	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214132.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214135.11	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214140.11	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000214141.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214142.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214144.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214145.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214146.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214147.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214160.10	56	92	96	92.99999	123.99999	111	485.99999	503.99999	457	655	629	729.99999
ENSG00000214161.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214174.11	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214176.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214178.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214182.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214184.3	1	0	0	0	0	0	0	1	0	1	0	0
ENSG00000214185.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214188.9	0	0	0	0	0	0	1	0	0	0	0	1
ENSG00000214189.10	1	1	2	0	0	2	1	0	1	0	4	1
ENSG00000214190.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214192.3	0	2	4	2	1	0	0	0	0	1	0	0
ENSG00000214193.11	1	0	1	0	0	0	9	9	7	5	1	10
ENSG00000214194.9	168	185	216	130	187	178	241	238	249	239	260	194
ENSG00000214195.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214198.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214199.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214200.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214203.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214204.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214207.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214210.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214211.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214212.9	54	44	52	32	41	43	19	30	18	28.00001	35	16
ENSG00000214216.11	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214222.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214223.4	1	1	1	6	4	0	0	7	1	1	1	1
ENSG00000214226.9	2	3	7	2	7	4	23	16	25	13	17	11
ENSG00000214237.11	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214243.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214244.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214245.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214248.2	1	0	0	0	0	0	0	0	2	1	0	0
ENSG00000214249.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214252.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214253.9	1397	1447.99999	1599	1589	1669.00001	1736.99999	425.99999	386.00001	395.99999	374	366	436
ENSG00000214254.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214255.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214259.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214262.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214263.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214264.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214265.11	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214266.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214268.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214269.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214273.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214274.10	20	30	37	11	27	21	28	31	36	23	25	23
ENSG00000214278.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214279.13	0	0	0	0	0	0	0	0	1	1	0	0
ENSG00000214280.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214281.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214282.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214283.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214285.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214286.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214288.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214289.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214290.9	1	0	0	2	0	0	3	2	7.00001	9	6	5
ENSG00000214293.11	42.00001	44	28	39	42	26	26.99999	28	29	21	13	23.99999
ENSG00000214295.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214297.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214298.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214300.7	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000214301.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214305.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214309.5	0	0	0	3	0	3	5	6	6	9	10	17
ENSG00000214313.11	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214318.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214319.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214321.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214322.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214324.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214326.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214329.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214330.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214331.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214335.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214336.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214338.11	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214342.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214344.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214347.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214351.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214353.8	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000214354.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214357.9	0	4	0	0	0	0	6	5	9	1	1	1
ENSG00000214359.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214360.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214362.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214366.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214367.10	19	8	10	10	13	8	37	36	37	57	32	20
ENSG00000214369.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214374.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214376.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214380.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214381.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214389.2	429	345	349	384	359	327	366	463	373	290	374	285
ENSG00000214391.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214401.6	82	71	71	54	59	29	79	91	101	53	45	47
ENSG00000214402.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214405.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214407.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214413.9	259	243.00001	287	286	282.99999	272	80	88	71	100	107	82
ENSG00000214414.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214415.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214417.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214424.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214425.11	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214428.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214429.3	37	38	39	44	31	37	44	56	42	32	43	22
ENSG00000214432.9	0	0	2	1	1	2	0	0	2	1	0	0
ENSG00000214433.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214434.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214435.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214439.7	0	0	0	0	0	0	1	0	0	1	0	0
ENSG00000214447.6	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000214455.4	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000214456.8	0	0	0	0	0	0	1	1	0	0	0	0
ENSG00000214457.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214460.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214465.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214484.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214485.6	12	10	5	11	12	18	1	4	0	0	1	1
ENSG00000214487.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214491.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214510.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214511.4	3	0	0	0	0	0	1	0	0	0	0	0
ENSG00000214513.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214514.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214517.10	17	16	6	22	24	19	74	88	68	108	82	98
ENSG00000214518.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214525.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214526.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214530.10	4	2	1	3	4	0	138	97	131	66.99999	68	78
ENSG00000214533.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214534.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214535.3	1190	1071	1088	1057	929	1073	189	194	176	151	188	18
ENSG00000214541.3	0	1	0	0	0	0	1	0	1	0	0	0
ENSG00000214544.8	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000214546.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214548.18	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214549.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214552.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214553.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214558.5	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000214559.3	0	2	0	0	0	0	0	0	0	0	0	0
ENSG00000214560.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214561.3	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000214562.15	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000214563.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214575.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214578.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214581.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214584.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214593.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214595.13	14	10	4	2	8	4	22	29	23	25.00001	18	12
ENSG00000214602.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214604.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214607.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214612.3	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214614.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214617.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214626.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214628.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214629.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214641.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214642.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214643.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214646.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214650.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214651.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214652.7	6	3	1	2	1	1	4	7	8	7	0	1
ENSG00000214653.4	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000214654.9	11	12	0	7	1	5	18	11	14	9	14	11
ENSG00000214655.11	2	0	0	4	2	10	29	22	19.99999	14.99999	6.99999	15
ENSG00000214657.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214659.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214660.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214668.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214669.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214671.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214676.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214681.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214684.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214686.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214688.6	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000214691.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214694.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214695.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214700.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214702.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214706.12	35	45	17	63	66	43	248	235	224	326	331	355
ENSG00000214708.4	0	0	0	0	0	0	2	1	0	1	0	0
ENSG00000214711.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214717.12	1	1	4	3	3	0	4	11	12	6	6	11
ENSG00000214719.13	1	0	5.00001	5	4.00001	0	12	11	11	6	4	5
ENSG00000214720.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214725.11	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214727.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214736.8	0	0	0	1	0	1	0	0	0	0	0	1
ENSG00000214743.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214745.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214748.2	9	16	18	29	19	29	0	0	0	2	1	0
ENSG00000214753.4	31	38	35	50	67	48	178	180	152	234	154	186
ENSG00000214754.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214756.8	171	234	141.99999	365.99999	246	603	26	16	37	77	12	98
ENSG00000214759.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214760.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214761.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214765.11	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214770.3	0	0	1	0	0	0	0	0	1	1	0	1
ENSG00000214772.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214773.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214776.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214782.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214784.4	0	1	2	1	0	0	0	1	0	0	0	0
ENSG00000214787.11	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214788.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214794.4	0	0	0	0	0	0	0	2	0	0	0	0
ENSG00000214796.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214797.3	0	0	0	0	0	0	0	0	0	0	0	0
